P. Name,P. Mass Class,P. Habitable Class,P. Min Mass (EU),P. Density (EU),Min Mass,Min Mass 3,X
HD 142415 b,Jovian,non-habitable,515.06,0.38,0,1030.12,0
HD 143105 b,Jovian,non-habitable,384.71,0.32,0,769.42,0
HD 143361 b,Jovian,non-habitable,991.97,0.64,0,1983.94,0
HD 143761 b,Jovian,non-habitable,332.25,0.3,0,664.5,0
HD 143761 c,Neptunian,non-habitable,25.12,0.2,0,50.24,0
HD 145377 b,Jovian,non-habitable,1831.33,1.15,1,3662.66,1
HD 145457 b,Jovian,non-habitable,922.03,0.6,0,1844.06,0
HD 145934 b,Jovian,non-habitable,724.9,0.49,0,1449.8,0
HD 147018 b,Jovian,non-habitable,674.03,0.47,0,1348.06,0
HD 147018 c,Jovian,non-habitable,2085.69,1.31,1,4171.38,1
HD 147379 b,Neptunian,non-habitable,24.7,0.2,0,49.4,0
HD 147513 b,Jovian,non-habitable,384.71,0.32,0,769.42,0
HD 147873 b,Jovian,non-habitable,1634.21,1.02,1,3268.42,1
HD 147873 c,Jovian,non-habitable,731.26,0.5,0,1462.52,0
HD 148156 b,Jovian,non-habitable,270.25,0.27,0,540.5,0
HD 148427 b,Jovian,non-habitable,305.22,0.29,0,610.44,0
HD 150433 b,Jovian,non-habitable,53.41,0.2,0,106.82,0
HD 150706 b,Jovian,non-habitable,861.62,0.57,0,1723.24,0
HD 152079 b,Jovian,non-habitable,953.82,0.62,0,1907.64,0
HD 152581 b,Jovian,non-habitable,476.91,0.37,0,953.82,0
HD 153950 b,Jovian,non-habitable,867.98,0.57,0,1735.96,0
HD 154088 b,Superterran,non-habitable,6.14,1.15,0,12.28,0
HD 154345 b,Jovian,non-habitable,413.32,0.34,0,826.64,0
HD 154672 b,Jovian,non-habitable,1596.06,1.0,1,3192.12,0
HD 154857 b,Jovian,non-habitable,712.19,0.49,0,1424.38,0
HD 154857 c,Jovian,non-habitable,820.29,0.54,0,1640.58,0
HD 155233 b,Jovian,non-habitable,826.64,0.55,0,1653.28,0
HD 155358 b,Jovian,non-habitable,270.25,0.27,0,540.5,0
HD 155358 c,Jovian,non-habitable,260.71,0.27,0,521.42,0
HD 156279 b,Jovian,non-habitable,3087.2,1.99,1,6174.4,1
HD 156411 b,Jovian,non-habitable,235.28,0.26,0,470.56,0
HD 156668 b,Terran,non-habitable,4.17,1.06,0,8.34,0
HD 157172 b,Neptunian,non-habitable,38.15,0.2,0,76.3,0
HD 158038 b,Jovian,non-habitable,572.29,0.41,0,1144.58,0
HD 158996 b,Jovian,non-habitable,4451.16,3.05,1,8902.32,1
HD 159243 b,Jovian,non-habitable,359.27,0.31,0,718.54,0
HD 159243 c,Jovian,non-habitable,604.09,0.43,0,1208.18,0
HD 159868 b,Jovian,non-habitable,667.67,0.46,0,1335.34,0
HD 159868 c,Jovian,non-habitable,232.1,0.26,0,464.2,0
HD 160508 b,Jovian,non-habitable,15261.12,18.56,1,30522.24,1
HD 162004 b,Jovian,non-habitable,486.45,0.37,0,972.9,0
HD 162020 b,Jovian,non-habitable,4578.34,3.16,1,9156.68,1
HD 163296 b,Jovian,non-habitable,95.38,0.21,0,190.76,0
HD 163296 c,Jovian,non-habitable,95.38,0.21,0,190.76,0
HD 163607 b,Jovian,non-habitable,244.81,0.26,0,489.62,0
HD 163607 c,Jovian,non-habitable,728.08,0.49,0,1456.16,0
HD 164509 b,Jovian,non-habitable,152.61,0.23,0,305.22,0
HD 164595 b,Neptunian,non-habitable,16.41,0.2,0,32.82,0
HD 164604 b,Jovian,non-habitable,858.44,0.56,0,1716.88,0
HD 164922 b,Jovian,non-habitable,107.62,0.21,0,215.24,0
HD 164922 c,Neptunian,non-habitable,12.91,0.2,0,25.82,0
HD 165155 b,Jovian,non-habitable,918.85,0.6,0,1837.7,0
HD 166724 b,Jovian,non-habitable,1122.33,0.71,1,2244.66,0
HD 167042 b,Jovian,non-habitable,508.7,0.38,0,1017.4,0
HD 168443 b,Jovian,non-habitable,2435.1,1.54,1,4870.2,1
HD 168443 c,Jovian,non-habitable,9367.47,8.49,1,18734.94,1
HD 168746 b,Jovian,non-habitable,73.13,0.2,0,146.26,0
HD 169142 b,Jovian,non-habitable,9538.2,8.73,1,19076.4,1
HD 169830 b,Jovian,non-habitable,915.67,0.6,0,1831.34,0
HD 169830 c,Jovian,non-habitable,1284.48,0.81,1,2568.96,0
HD 170469 b,Jovian,non-habitable,213.02,0.25,0,426.04,0
HD 171028 b,Jovian,non-habitable,629.52,0.44,0,1259.04,0
HD 171238 b,Jovian,non-habitable,826.64,0.55,0,1653.28,0
HD 173416 b,Jovian,non-habitable,858.44,0.56,0,1716.88,0
HD 175167 b,Jovian,non-habitable,2479.93,1.57,1,4959.86,1
HD 175370 b,Jovian,non-habitable,1462.52,0.92,1,2925.04,0
HD 175541 b,Jovian,non-habitable,193.94,0.24,0,387.88,0
HD 175607 b,Superterran,non-habitable,9.0,1.25,0,18.0,0
HD 176051 b,Jovian,non-habitable,476.91,0.37,0,953.82,0
HD 176986 b,Superterran,non-habitable,5.75,1.13,0,11.5,0
HD 176986 c,Superterran,non-habitable,9.19,1.25,0,18.38,0
HD 177830 b,Jovian,non-habitable,473.73,0.36,0,947.46,0
HD 177830 c,Neptunian,non-habitable,47.69,0.2,0,95.38,0
HD 178911 B b,Jovian,non-habitable,2000.48,1.26,1,4000.96,1
HD 179079 b,Neptunian,non-habitable,25.44,0.2,0,50.88,0
HD 180314 b,Jovian,non-habitable,6994.68,5.54,1,13989.36,1
HD 180777 b,Jovian,non-habitable,7948.5,6.65,1,15897.0,1
HD 180902 b,Jovian,non-habitable,508.7,0.38,0,1017.4,0
HD 181342 b,Jovian,non-habitable,922.03,0.6,0,1844.06,0
HD 181433 b,Superterran,non-habitable,7.57,1.2,0,15.14,0
HD 181433 c,Jovian,non-habitable,203.48,0.25,0,406.96,0
HD 181433 d,Jovian,non-habitable,171.69,0.23,0,343.38,0
HD 181720 b,Jovian,non-habitable,3853.43,2.56,1,7706.86,1
HD 183263 b,Jovian,non-habitable,1166.84,0.74,1,2333.68,0
HD 183263 c,Jovian,non-habitable,1214.53,0.77,1,2429.06,0
HD 185269 b,Jovian,non-habitable,298.86,0.29,0,597.72,0
HD 187085 b,Jovian,non-habitable,238.46,0.26,0,476.92,0
HD 187123 b,Jovian,non-habitable,165.33,0.23,0,330.66,0
HD 187123 c,Jovian,non-habitable,632.7,0.44,0,1265.4,0
HD 188015 b,Jovian,non-habitable,400.6,0.33,0,801.2,0
HD 189567 b,Superterran,non-habitable,10.05,0.2,0,20.1,0
HD 190360 b,Jovian,non-habitable,475.32,0.37,0,950.64,0
HD 190360 c,Neptunian,non-habitable,20.29,0.2,0,40.58,0
HD 190647 b,Jovian,non-habitable,604.09,0.43,0,1208.18,0
HD 190984 b,Jovian,non-habitable,985.61,0.64,0,1971.22,0
HD 191806 b,Jovian,non-habitable,2708.85,1.72,1,5417.7,1
HD 192263 b,Jovian,non-habitable,233.05,0.26,0,466.1,0
HD 192699 b,Jovian,non-habitable,794.85,0.53,0,1589.7,0
HD 195019 b,Jovian,non-habitable,1176.38,0.75,1,2352.76,0
HD 196050 b,Jovian,non-habitable,899.77,0.59,0,1799.54,0
HD 196067 b,Jovian,non-habitable,2193.79,1.38,1,4387.58,1
HD 196885 A b,Jovian,non-habitable,947.46,0.61,0,1894.92,0
HD 197037 b,Jovian,non-habitable,251.17,0.27,0,502.34,0
HD 200964 b,Jovian,non-habitable,588.19,0.42,0,1176.38,0
HD 200964 c,Jovian,non-habitable,284.56,0.28,0,569.12,0
HD 202206 c,Jovian,non-habitable,5691.13,4.18,1,11382.26,1
HD 203030 b,Jovian,non-habitable,3497.34,2.29,1,6994.68,1
HD 204313 b,Jovian,non-habitable,1360.78,0.86,1,2721.56,0
HD 204313 c,Neptunian,non-habitable,17.58,0.2,0,35.16,0
HD 204313 d,Jovian,non-habitable,534.14,0.39,0,1068.28,0
HD 204941 b,Jovian,non-habitable,84.57,0.21,0,169.14,0
HD 205739 b,Jovian,non-habitable,435.58,0.35,0,871.16,0
HD 206610 b,Jovian,non-habitable,699.47,0.48,0,1398.94,0
HD 206893 b,Jovian,non-habitable,7153.65,5.72,1,14307.3,1
HD 207832 b,Jovian,non-habitable,178.05,0.24,0,356.1,0
HD 207832 c,Jovian,non-habitable,232.1,0.26,0,464.2,0
HD 208487 b,Jovian,non-habitable,131.31,0.22,0,262.62,0
HD 208527 b,Jovian,non-habitable,3147.61,2.03,1,6295.22,1
HD 208897 b,Jovian,non-habitable,445.12,0.35,0,890.24,0
HD 209458 b,Jovian,non-habitable,155.12,0.06,0,310.24,0
HD 210277 b,Jovian,non-habitable,391.07,0.33,0,782.14,0
HD 210702 b,Jovian,non-habitable,604.09,0.43,0,1208.18,0
HD 211847 b,Jovian,non-habitable,6104.45,4.59,1,12208.9,1
HD 212771 b,Jovian,non-habitable,731.26,0.5,0,1462.52,0
HD 213240 b,Jovian,non-habitable,1430.73,0.9,1,2861.46,0
HD 214823 b,Jovian,non-habitable,6104.45,4.59,1,12208.9,1
HD 215152 b,Terran,non-habitable,2.0,0.95,0,4.0,0
HD 215152 c,Terran,non-habitable,1.53,0.92,0,3.06,0
HD 215152 d,Terran,non-habitable,2.71,0.99,0,5.42,0
HD 215152 e,Terran,non-habitable,3.47,1.03,0,6.94,0
HD 215456 b,Neptunian,non-habitable,32.11,0.2,0,64.22,0
HD 215456 c,Jovian,non-habitable,78.21,0.21,0,156.42,0
HD 215497 b,Superterran,non-habitable,6.36,1.15,0,12.72,0
HD 215497 c,Jovian,non-habitable,104.92,0.21,0,209.84,0
HD 216435 b,Jovian,non-habitable,400.6,0.33,0,801.2,0
HD 216437 b,Jovian,non-habitable,578.65,0.42,0,1157.3,0
HD 216536 b,Jovian,non-habitable,467.37,0.36,0,934.74,0
HD 216770 b,Jovian,non-habitable,206.66,0.25,0,413.32,0
HD 217107 b,Jovian,non-habitable,422.86,0.34,0,845.72,0
HD 217107 c,Jovian,non-habitable,791.67,0.53,0,1583.34,0
HD 217786 b,Jovian,non-habitable,4133.22,2.79,1,8266.44,1
HD 218566 b,Jovian,non-habitable,66.77,0.2,0,133.54,0
HD 219077 b,Jovian,non-habitable,3303.4,2.14,1,6606.8,1
HD 219134 c,Terran,non-habitable,3.5,1.03,0,7.0,0
HD 219134 d,Neptunian,non-habitable,21.3,0.2,0,42.6,0
HD 219134 e,Jovian,non-habitable,63.59,0.2,0,127.18,0
HD 219134 g,Neptunian,non-habitable,10.81,0.2,0,21.62,0
HD 219134 h,Jovian,non-habitable,89.02,0.21,0,178.04,0
HD 219415 b,Jovian,non-habitable,317.94,0.29,0,635.88,0
HD 219828 b,Neptunian,non-habitable,21.02,0.2,0,42.04,0
HD 219828 c,Jovian,non-habitable,4800.89,3.35,1,9601.78,1
HD 220074 b,Jovian,non-habitable,3529.13,2.31,1,7058.26,1
HD 220689 b,Jovian,non-habitable,337.02,0.3,0,674.04,0
HD 220773 b,Jovian,non-habitable,461.01,0.36,0,922.02,0
HD 220842 b,Jovian,non-habitable,1011.05,0.65,1,2022.1,0
HD 221287 b,Jovian,non-habitable,982.43,0.63,0,1964.86,0
HD 221585 b,Jovian,non-habitable,511.88,0.38,0,1023.76,0
HD 222076 b,Jovian,non-habitable,495.99,0.38,0,991.98,0
HD 222155 b,Jovian,non-habitable,604.09,0.43,0,1208.18,0
HD 222582 b,Jovian,non-habitable,2464.03,1.56,1,4928.06,1
HD 224538 b,Jovian,non-habitable,1898.1,1.19,1,3796.2,1
HD 224693 b,Jovian,non-habitable,225.74,0.26,0,451.48,0
HD 231701 b,Jovian,non-habitable,343.38,0.3,0,686.76,0
HD 233604 b,Jovian,non-habitable,2090.46,1.31,1,4180.92,1
HD 238914 b,Jovian,non-habitable,1907.64,1.2,1,3815.28,1
HD 240210 b,Jovian,non-habitable,2193.79,1.38,1,4387.58,1
HD 240237 b,Jovian,non-habitable,1685.08,1.06,1,3370.16,1
HD 283668 b,Jovian,non-habitable,16978.0,22.26,1,33956.0,1
HD 284149 b,Jovian,non-habitable,10174.08,9.64,1,20348.16,1
HD 285507 b,Jovian,non-habitable,291.55,0.28,0,583.1,0
HD 290327 b,Jovian,non-habitable,807.57,0.54,0,1615.14,0
HII 1348 b,Jovian,non-habitable,18758.46,26.45,1,37516.92,1
HIP 5158 b,Jovian,non-habitable,457.83,0.36,0,915.66,0
HIP 5158 c,Jovian,non-habitable,4781.82,3.34,1,9563.64,1
HIP 8541 b,Jovian,non-habitable,1777.28,1.11,1,3554.56,1
HIP 11915 b,Jovian,non-habitable,314.76,0.29,0,629.52,0
HIP 12961 b,Jovian,non-habitable,111.28,0.21,0,222.56,0
HIP 14810 b,Jovian,non-habitable,1233.61,0.78,1,2467.22,0
HIP 14810 c,Jovian,non-habitable,406.96,0.33,0,813.92,0
HIP 14810 d,Jovian,non-habitable,181.23,0.24,0,362.46,0
HIP 57050 b,Jovian,non-habitable,94.75,0.21,0,189.5,0
HIP 57274 b,Neptunian,non-habitable,11.45,0.2,0,22.9,0
HIP 57274 c,Jovian,non-habitable,130.36,0.22,0,260.72,0
HIP 57274 d,Jovian,non-habitable,167.55,0.23,0,335.1,0
HIP 63242 b,Jovian,non-habitable,2918.69,1.87,1,5837.38,1
HIP 64892 b,Jovian,non-habitable,10492.02,10.11,1,20984.04,1
HIP 65407 b,Jovian,non-habitable,136.08,0.22,0,272.16,0
HIP 65407 c,Jovian,non-habitable,249.26,0.26,0,498.52,0
HIP 65891 b,Jovian,non-habitable,1907.64,1.2,1,3815.28,1
HIP 67537 b,Jovian,non-habitable,3529.13,2.31,1,7058.26,1
HIP 67851 b,Jovian,non-habitable,438.76,0.35,0,877.52,0
HIP 67851 c,Jovian,non-habitable,1901.28,1.19,1,3802.56,1
HIP 68468 b,Terran,non-habitable,3.5,1.03,0,7.0,0
HIP 68468 c,Neptunian,non-habitable,29.89,0.2,0,59.78,0
HIP 70849 b,Jovian,non-habitable,2861.46,1.83,1,5722.92,1
HIP 73990 b,Jovian,non-habitable,6676.74,5.19,1,13353.48,1
HIP 73990 c,Jovian,non-habitable,6994.68,5.54,1,13989.36,1
HIP 74865 b,Jovian,non-habitable,8902.32,7.86,1,17804.64,1
HIP 74890 b,Jovian,non-habitable,763.06,0.51,0,1526.12,0
HIP 75458 b,Jovian,non-habitable,2985.46,1.91,1,5970.92,1
HIP 77900 b,Jovian,non-habitable,6358.8,4.86,1,12717.6,1
HIP 78530 b,Jovian,non-habitable,7325.34,5.92,1,14650.68,1
HIP 79431 b,Jovian,non-habitable,667.67,0.46,0,1335.34,0
HIP 91258 b,Jovian,non-habitable,339.56,0.3,0,679.12,0
HIP 97233 b,Jovian,non-habitable,6358.8,4.86,1,12717.6,1
HIP 105854 b,Jovian,non-habitable,2607.11,1.65,1,5214.22,1
HIP 107773 b,Jovian,non-habitable,629.52,0.44,0,1259.04,0
HIP 109384 b,Jovian,non-habitable,495.99,0.38,0,991.98,0
HIP 109600 b,Jovian,non-habitable,852.08,0.56,0,1704.16,0
HIP 116454 b,Superterran,non-habitable,11.8,0.73,0,23.6,0
HR 810 b,Jovian,non-habitable,718.54,0.49,0,1437.08,0
HR 2562 b,Jovian,non-habitable,9538.2,8.73,1,19076.4,1
HR 3549 b,Jovian,non-habitable,14307.3,16.66,1,28614.6,1
HR 7329 b,Jovian,non-habitable,11127.9,11.08,1,22255.8,1
HR 8799 e,Jovian,non-habitable,2861.46,1.83,1,5722.92,1
HU Aqr(AB) c,Jovian,non-habitable,1875.85,1.18,1,3751.7,1
HW Vir(AB) b,Jovian,non-habitable,4546.54,3.13,1,9093.08,1
J1433 b,Jovian,non-habitable,18154.38,24.99,1,36308.76,1
K2-18 c,Superterran,non-habitable,7.5,1.2,0,15.0,0
K2-31 b,Jovian,non-habitable,590.1,0.42,0,1180.2,0
K2-95 b,Neptunian,non-habitable,375.45,10.52,0,750.9,0
K2-110 b,Neptunian,non-habitable,11.51,0.96,0,23.02,0
kappa CrB b,Jovian,non-habitable,508.7,0.38,0,1017.4,0
Kapteyn b,Terran,psychroplanet,4.8,1.09,0,9.6,0
Kapteyn c,Superterran,non-habitable,7.0,1.18,0,14.0,0
KELT-1 b,Jovian,non-habitable,8657.51,4.46,1,17315.02,1
KELT-2 A b,Jovian,non-habitable,351.49,0.15,0,702.98,0
KELT-3 b,Jovian,non-habitable,345.36,0.14,0,690.72,0
KELT-4 A b,Jovian,non-habitable,242.17,0.04,0,484.34,0
KELT-6 c,Jovian,non-habitable,1179.56,0.75,1,2359.12,0
KELT-8 b,Jovian,non-habitable,277.74,0.03,0,555.48,0
Kepler-6 b,Jovian,non-habitable,212.61,0.07,0,425.22,0
Kepler-7 b,Jovian,non-habitable,118.0,0.02,0,236.0,0
Kepler-9 d,Superterran,non-habitable,5.24,0.66,0,10.48,0
Kepler-10 b,Terran,non-habitable,3.33,1.05,0,6.66,0
Kepler-11 b,Terran,non-habitable,1.9,0.33,0,3.8,0
Kepler-11 c,Terran,non-habitable,2.39,0.12,0,4.78,0
Kepler-12 b,Jovian,non-habitable,136.63,0.02,0,273.26,0
Kepler-13 A b,Jovian,non-habitable,2098.4,0.54,1,4196.8,0
Kepler-14 b,Jovian,non-habitable,2667.2,1.3,1,5334.4,1
Kepler-15 b,Jovian,non-habitable,209.84,0.17,0,419.68,0
Kepler-16(AB) b,Jovian,non-habitable,105.7,0.18,0,211.4,0
Kepler-17 b,Jovian,non-habitable,776.56,0.25,0,1553.12,0
Kepler-18 b,Superterran,non-habitable,6.84,0.86,0,13.68,0
Kepler-18 c,Neptunian,non-habitable,17.19,0.1,0,34.38,0
Kepler-18 d,Neptunian,non-habitable,16.28,0.05,0,32.56,0
Kepler-19 c,Neptunian,non-habitable,13.1,0.2,0,26.2,0
Kepler-19 d,Neptunian,non-habitable,22.51,0.2,0,45.02,0
Kepler-20 b,Superterran,non-habitable,9.7,1.49,0,19.4,0
Kepler-20 g,Neptunian,non-habitable,19.97,0.2,0,39.94,0
Kepler-23 d,Superterran,non-habitable,17.37,1.57,0,34.74,0
Kepler-25 d,Jovian,non-habitable,89.93,0.21,0,179.86,0
Kepler-35(AB) b,Neptunian,non-habitable,40.03,0.07,0,80.06,0
Kepler-36 b,Terran,non-habitable,4.46,1.38,0,8.92,0
Kepler-36 c,Superterran,non-habitable,8.07,0.16,0,16.14,0
Kepler-38(AB) b,Neptunian,non-habitable,120.81,1.45,0,241.62,0
Kepler-40 b,Jovian,non-habitable,699.31,0.31,0,1398.62,0
Kepler-41  b,Jovian,non-habitable,155.74,0.19,0,311.48,0
Kepler-43 b,Jovian,non-habitable,1016.7,0.42,1,2033.4,0
Kepler-44 b,Jovian,non-habitable,323.91,0.12,0,647.82,0
Kepler-45 b,Jovian,non-habitable,154.03,0.13,0,308.06,0
Kepler-46 c,Jovian,non-habitable,115.09,0.22,0,230.18,0
Kepler-48 c,Neptunian,non-habitable,14.56,0.73,0,29.12,0
Kepler-48 d,Superterran,non-habitable,7.95,0.94,0,15.9,0
Kepler-48 e,Jovian,non-habitable,657.18,0.46,0,1314.36,0
Kepler-50 b,Superterran,non-habitable,31.77,2.83,0,63.54,0
Kepler-50 c,Neptunian,non-habitable,34.96,1.59,0,69.92,0
Kepler-51 b,Terran,non-habitable,2.09,0.01,0,4.18,0
Kepler-51 c,Terran,non-habitable,4.0,0.01,0,8.0,0
Kepler-53 c,Neptunian,non-habitable,5001.14,162.37,1,10002.28,1
Kepler-56 b,Neptunian,non-habitable,22.12,0.08,0,44.24,0
Kepler-56 c,Jovian,non-habitable,180.68,0.19,0,361.36,0
Kepler-56 d,Jovian,non-habitable,1783.64,1.12,1,3567.28,1
Kepler-57 c,Superterran,non-habitable,2209.11,573.18,1,4418.22,1
Kepler-58 b,Neptunian,non-habitable,441.2,20.13,0,882.4,0
Kepler-58 c,Neptunian,non-habitable,695.4,28.2,0,1390.8,0
Kepler-59 b,Terran,non-habitable,651.05,492.91,0,1302.1,0
Kepler-59 c,Superterran,non-habitable,434.52,53.16,0,869.04,0
Kepler-60 b,Terran,non-habitable,4.18,0.83,0,8.36,0
Kepler-60 c,Terran,non-habitable,3.85,0.56,0,7.7,0
Kepler-60 d,Terran,non-habitable,4.16,0.53,0,8.32,0
Kepler-64(AB) b,Jovian,non-habitable,168.43,0.71,0,336.86,0
Kepler-65 c,Neptunian,non-habitable,26.69,1.57,0,53.38,0
Kepler-68 b,Superterran,non-habitable,5.96,0.49,0,11.92,0
Kepler-68 d,Jovian,non-habitable,267.07,0.27,0,534.14,0
