P. Name,P. Mass Class,P. Habitable Class,P. Min Mass (EU),P. Density (EU),Min Mass,Min Mass 3,X
Kepler-70  b,Subterran,non-habitable,0.45,1.01,0,0.9,0
Kepler-70 c,Terran,non-habitable,0.67,1.0,0,1.34,0
Kepler-75 b,Jovian,non-habitable,3145.29,2.05,1,6290.58,1
Kepler-76 b,Jovian,non-habitable,621.24,0.23,0,1242.48,0
Kepler-79 b,Neptunian,non-habitable,10.86,0.26,0,21.72,0
Kepler-79 c,Superterran,non-habitable,5.89,0.11,0,11.78,0
Kepler-79 d,Superterran,non-habitable,5.99,0.02,0,11.98,0
Kepler-79 e,Terran,non-habitable,4.08,0.1,0,8.16,0
Kepler-80 b,Superterran,non-habitable,6.93,0.53,0,13.86,0
Kepler-80 c,Superterran,non-habitable,6.73,0.39,0,13.46,0
Kepler-80 d,Terran,non-habitable,6.73,2.46,0,13.46,0
Kepler-80 e,Terran,non-habitable,4.13,1.22,0,8.26,0
Kepler-85 b,Superterran,non-habitable,14.77,1.87,0,29.54,0
Kepler-85 c,Superterran,non-habitable,18.58,1.75,0,37.16,0
Kepler-87 b,Jovian,non-habitable,324.15,0.13,0,648.3,0
Kepler-87 c,Superterran,non-habitable,6.36,0.03,0,12.72,0
Kepler-88 b,Superterran,non-habitable,8.68,0.16,0,17.36,0
Kepler-88 c,Jovian,non-habitable,199.31,0.24,0,398.62,0
Kepler-89 b,Superterran,non-habitable,10.49,2.09,0,20.98,0
Kepler-89 c,Neptunian,non-habitable,15.53,0.19,0,31.06,0
Kepler-89 d,Jovian,non-habitable,52.08,0.04,0,104.16,0
Kepler-91 b,Jovian,non-habitable,232.02,0.06,0,464.04,0
Kepler-92 b,Neptunian,non-habitable,60.09,1.23,0,120.18,0
Kepler-92 c,Superterran,non-habitable,5.69,0.39,0,11.38,0
Kepler-93 b,Terran,non-habitable,4.0,1.23,0,8.0,0
Kepler-94 b,Neptunian,non-habitable,10.84,0.25,0,21.68,0
Kepler-94 c,Jovian,non-habitable,3127.26,2.02,1,6254.52,1
Kepler-95 b,Neptunian,non-habitable,13.01,0.33,0,26.02,0
Kepler-96 b,Superterran,non-habitable,8.58,0.45,0,17.16,0
Kepler-100 b,Terran,non-habitable,7.34,3.31,0,14.68,0
Kepler-100 c,Terran,non-habitable,0.85,0.08,0,1.7,0
Kepler-100 d,Terran,non-habitable,2.99,0.86,0,5.98,0
Kepler-102 b,Subterran,non-habitable,0.41,3.97,0,0.82,0
Kepler-102 c,Subterran,non-habitable,2.86,14.49,0,5.72,0
Kepler-102 d,Terran,non-habitable,2.59,1.65,0,5.18,0
Kepler-102 e,Superterran,non-habitable,8.93,0.82,0,17.86,0
Kepler-102 f,Terran,non-habitable,0.63,0.92,0,1.26,0
Kepler-103 b,Superterran,non-habitable,9.84,0.24,0,19.68,0
Kepler-103 c,Neptunian,non-habitable,36.2,0.24,0,72.4,0
Kepler-105 c,Terran,non-habitable,4.43,1.98,0,8.86,0
Kepler-106 b,Mercurian,non-habitable,0.15,0.27,0,0.3,0
Kepler-106 c,Superterran,non-habitable,10.32,0.67,0,20.64,0
Kepler-106 d,Terran,non-habitable,7.93,9.21,0,15.86,0
Kepler-106 e,Neptunian,non-habitable,11.16,0.67,0,22.32,0
Kepler-109 b,Terran,non-habitable,1.3,0.1,0,2.6,0
Kepler-109 c,Terran,non-habitable,2.22,0.12,0,4.44,0
Kepler-113 b,Superterran,non-habitable,11.67,1.96,0,23.34,0
Kepler-113 c,Superterran,non-habitable,8.58,0.84,0,17.16,0
Kepler-114 b,Terran,non-habitable,6.99,4.27,0,13.98,0
Kepler-114 c,Superterran,non-habitable,39.86,9.74,0,79.72,0
Kepler-114 d,Terran,non-habitable,4.79,0.3,0,9.58,0
Kepler-128 b,Terran,non-habitable,29.89,20.67,0,59.78,0
Kepler-128 c,Terran,non-habitable,32.77,22.84,0,65.54,0
Kepler-131 b,Superterran,non-habitable,16.11,1.16,0,32.22,0
Kepler-131 c,Subterran,non-habitable,8.26,13.95,0,16.52,0
Kepler-138 b,Mercurian,non-habitable,0.07,0.34,0,0.14,0
Kepler-138 c,Terran,non-habitable,1.01,0.24,0,2.02,0
Kepler-138 d,Terran,non-habitable,1.0,0.24,0,2.0,0
Kepler-145 b,Neptunian,non-habitable,36.97,2.23,0,73.94,0
Kepler-145 c,Neptunian,non-habitable,79.41,1.32,0,158.82,0
Kepler-150 f,Superterran,psychroplanet,8.96,0.19,0,17.92,0
Kepler-167 d,Terran,non-habitable,1.9,1.12,0,3.8,0
Kepler-167 e,Jovian,non-habitable,1270.37,1.2,1,2540.74,1
Kepler-177 b,Terran,non-habitable,1.7,0.07,0,3.4,0
Kepler-177 c,Superterran,non-habitable,6.29,0.02,0,12.58,0
Kepler-197 c,Terran,non-habitable,5.38,3.07,0,10.76,0
Kepler-238 e,Neptunian,non-habitable,198.99,1.13,0,397.98,0
Kepler-238 f,Superterran,non-habitable,17.79,2.21,0,35.58,0
Kepler-328 c,Neptunian,non-habitable,31.58,0.2,0,63.16,0
Kepler-338 b,Neptunian,non-habitable,30.62,1.79,0,61.24,0
Kepler-350 c,Superterran,non-habitable,5.55,0.19,0,11.1,0
Kepler-418 b,Jovian,non-habitable,321.45,0.14,0,642.9,0
Kepler-419 c,Jovian,non-habitable,2352.76,1.48,1,4705.52,1
Kepler-424 c,Jovian,non-habitable,2216.04,1.39,1,4432.08,1
Kepler-454 c,Jovian,non-habitable,1418.01,0.89,1,2836.02,0
Kepler-539 c,Terran,non-habitable,2.4,0.98,0,4.8,0
KIC-5095269(AB) b,Jovian,non-habitable,2447.5,1.55,1,4895.0,1
KIC-7917485 b,Jovian,non-habitable,3751.69,2.48,1,7503.38,1
KMT-2016-BLG-1107 b,Jovian,non-habitable,1042.84,0.67,1,2085.68,0
KMT-2016-BLG-1820 b,Jovian,non-habitable,1452.99,0.91,1,2905.98,0
KMT-2016-BLG-2142 b,Jovian,non-habitable,4924.89,3.46,1,9849.78,1
KOI-1089.02 b,Jovian,non-habitable,189.97,0.59,0,379.94,0
KOI-1299 c,Jovian,non-habitable,836.18,0.55,0,1672.36,0
ksi Aql b,Jovian,non-habitable,642.24,0.45,0,1284.48,0
L2 Pup b,Jovian,non-habitable,3815.28,2.53,1,7630.56,1
Lalande 21185 b,Terran,non-habitable,3.82,1.05,0,7.64,0
LKCA 15 b,Jovian,non-habitable,1907.64,1.2,1,3815.28,1
LSR J1835 b,Jovian,non-habitable,17486.7,23.42,1,34973.4,1
MOA-2007-BLG-192L b,Terran,non-habitable,3.18,1.02,0,6.36,0
MOA-2007-BLG-197L b,Jovian,non-habitable,13035.54,14.29,1,26071.08,1
MOA-2007-BLG-400L b,Jovian,non-habitable,286.15,0.28,0,572.3,0
MOA-2008-BLG-310L b,Jovian,non-habitable,73.13,0.2,0,146.26,0
MOA-2008-BLG-379L b,Jovian,non-habitable,1303.55,0.82,1,2607.1,0
MOA-2009-BLG-266L b,Neptunian,non-habitable,10.4,0.2,0,20.8,0
MOA-2009-BLG-319 b,Neptunian,non-habitable,49.92,0.2,0,99.84,0
MOA-2009-BLG-387L b,Jovian,non-habitable,826.64,0.55,0,1653.28,0
MOA-2010-BLG-117 b,Jovian,non-habitable,162.15,0.23,0,324.3,0
MOA-2010-BLG-328L b,Superterran,non-habitable,9.22,1.25,0,18.44,0
MOA-2010-BLG-353L b,Jovian,non-habitable,85.84,0.21,0,171.68,0
MOA-2010-BLG-477L b,Jovian,non-habitable,476.91,0.37,0,953.82,0
MOA-2011-BLG-028L b,Neptunian,non-habitable,29.89,0.2,0,59.78,0
MOA-2011-BLG-262L b,Neptunian,non-habitable,18.01,0.2,0,36.02,0
MOA-2011-BLG-274 b,Jovian,non-habitable,254.35,0.27,0,508.7,0
MOA-2011-BLG-291 b,Neptunian,non-habitable,27.02,0.2,0,54.04,0
MOA-2011-BLG-293L b,Jovian,non-habitable,1526.11,0.96,1,3052.22,0
MOA-2011-BLG-322L b,Jovian,non-habitable,2479.93,1.57,1,4959.86,1
MOA-2012-BLG-006 b,Jovian,non-habitable,2670.7,1.7,1,5341.4,1
MOA-2012-BLG-505L b,Jovian,non-habitable,2130.2,1.34,1,4260.4,1
MOA-2013-BLG-220L b,Jovian,non-habitable,60.02,0.2,0,120.04,0
MOA-2013-BLG-605L b,Neptunian,non-habitable,20.98,0.2,0,41.96,0
MOA-2016-BLG-227L b,Jovian,non-habitable,731.26,0.5,0,1462.52,0
MOA-bin-1 b,Jovian,non-habitable,1176.38,0.75,1,2352.76,0
mu Ara b,Jovian,non-habitable,532.87,0.39,0,1065.74,0
mu Ara c,Neptunian,non-habitable,10.56,0.2,0,21.12,0
mu Ara d,Jovian,non-habitable,165.93,0.23,0,331.86,0
mu Ara e,Jovian,non-habitable,576.74,0.42,0,1153.48,0
mu Leo b,Jovian,non-habitable,763.06,0.51,0,1526.12,0
NGC 2423 3 b,Jovian,non-habitable,3370.16,2.19,1,6740.32,1
NGC 4349 No 127 b,Jovian,non-habitable,6295.21,4.79,1,12590.42,1
NN Ser(AB) c,Jovian,non-habitable,2196.97,1.38,1,4393.94,1
NN Ser(AB) d,Jovian,non-habitable,724.9,0.49,0,1449.8,0
nu Oph b,Jovian,non-habitable,7630.56,6.27,1,15261.12,1
nu Oph c,Jovian,non-habitable,8584.38,7.45,1,17168.76,1
NY Vir b,Jovian,non-habitable,883.87,0.58,0,1767.74,0
NY Vir c,Jovian,non-habitable,1427.55,0.9,1,2855.1,0
OGLE-2003-BLG-235L b,Jovian,non-habitable,826.64,0.55,0,1653.28,0
OGLE-2005-071L b,Jovian,non-habitable,1112.79,0.71,1,2225.58,0
OGLE-2005-169L b,Neptunian,non-habitable,14.12,0.2,0,28.24,0
OGLE-2005-390L b,Superterran,non-habitable,5.4,1.12,0,10.8,0
OGLE-2006-109L b,Jovian,non-habitable,231.14,0.26,0,462.28,0
OGLE-2006-109L c,Jovian,non-habitable,86.16,0.21,0,172.32,0
OGLE-2007-BLG-349(AB) b,Jovian,non-habitable,79.49,0.21,0,158.98,0
OGLE-2007-BLG-368L b,Neptunian,non-habitable,22.07,0.2,0,44.14,0
OGLE-2008-BLG-092L b,Jovian,non-habitable,57.23,0.2,0,114.46,0
OGLE-2008-BLG-355L b,Jovian,non-habitable,1462.52,0.92,1,2925.04,0
OGLE-2009-BLG-151L b,Jovian,non-habitable,2384.55,1.5,1,4769.1,1
OGLE-2011-BLG-0251L b,Jovian,non-habitable,305.22,0.29,0,610.44,0
OGLE-2011-BLG-0265L b,Jovian,non-habitable,279.79,0.28,0,559.58,0
OGLE-2011-BLG-0420L b,Jovian,non-habitable,2988.64,1.92,1,5977.28,1
OGLE-2012-BLG-0026L b,Neptunian,non-habitable,34.97,0.2,0,69.94,0
OGLE-2012-BLG-0026L c,Jovian,non-habitable,216.2,0.25,0,432.4,0
OGLE-2012-BLG-0358L b,Jovian,non-habitable,588.19,0.42,0,1176.38,0
OGLE-2012-BLG-0406L b,Jovian,non-habitable,867.98,0.57,0,1735.96,0
OGLE-2012-BLG-0563L b,Jovian,non-habitable,124.0,0.22,0,248.0,0
OGLE-2012-BLG-0724L b,Jovian,non-habitable,149.43,0.23,0,298.86,0
OGLE-2012-BLG-0950L b,Neptunian,non-habitable,34.97,0.2,0,69.94,0
OGLE-2013-BLG-0102L b,Jovian,non-habitable,4323.98,2.94,1,8647.96,1
OGLE-2013-BLG-0132L b,Jovian,non-habitable,92.2,0.21,0,184.4,0
OGLE-2013-BLG-0341L b,Terran,non-habitable,1.66,0.93,0,3.32,0
OGLE-2013-BLG-1721 b,Jovian,non-habitable,203.48,0.25,0,406.96,0
OGLE-2013-BLG-1761L b,Jovian,non-habitable,890.23,0.58,0,1780.46,0
OGLE-2014-BLG-0124L b,Jovian,non-habitable,203.48,0.25,0,406.96,0
OGLE-2014-BLG-0257L b,Jovian,non-habitable,11445.84,11.59,1,22891.68,1
OGLE-2014-BLG-0676L b,Jovian,non-habitable,982.43,0.63,0,1964.86,0
OGLE-2014-BLG-1722 b,Jovian,non-habitable,55.32,0.2,0,110.64,0
OGLE-2014-BLG-1722 c,Jovian,non-habitable,83.71,0.21,0,167.42,0
OGLE-2014:BLG-1760L b,Jovian,non-habitable,182.18,0.24,0,364.36,0
OGLE-2015-BLG-0051L b,Jovian,non-habitable,228.92,0.26,0,457.84,0
OGLE-2015-BLG-0954L b,Jovian,non-habitable,1398.94,0.88,1,2797.88,0
OGLE-2015-BLG-0966L b,Neptunian,non-habitable,20.98,0.2,0,41.96,0
OGLE-2015-BLG-1319L b,Jovian,non-habitable,14307.3,16.66,1,28614.6,1
OGLE-2016-BLG-0613LAB b,Jovian,non-habitable,1328.99,0.84,1,2657.98,0
OGLE-2016-BLG-0693L b,Jovian,non-habitable,15579.06,19.22,1,31158.12,1
OGLE-2016-BLG-596L b,Jovian,non-habitable,3878.87,2.58,1,7757.74,1
OGLE-2016-BLG-1067L b,Jovian,non-habitable,136.71,0.22,0,273.42,0
OGLE-2016-BLG-1112L b,Jovian,non-habitable,10078.7,9.5,1,20157.4,1
OGLE-2016-BLG-1190L b,Jovian,non-habitable,4254.04,2.89,1,8508.08,1
OGLE-2016-BLG-1195L b,Terran,non-habitable,1.43,0.91,0,2.86,0
OGLE-2016-BLG-1266 b,Jovian,non-habitable,3783.49,2.51,1,7566.98,1
OGLE-2016-BLG-1469L b,Jovian,non-habitable,4323.98,2.94,1,8647.96,1
OGLE-2017-BLG-0173 b,Jovian,non-habitable,2886.9,1.84,1,5773.8,1
OGLE-2017-BLG-1140L b,Jovian,non-habitable,518.24,0.39,0,1036.48,0
OGLE-2017-BLG-1434L b,Terran,non-habitable,4.45,1.08,0,8.9,0
OGLE-2017-BLG-1522 b,Jovian,non-habitable,238.46,0.26,0,476.92,0
OGLE-GD-ECL-11388 b,Jovian,non-habitable,3974.25,2.66,1,7948.5,1
OGLE-TR-182 b,Jovian,non-habitable,336.62,0.08,0,673.24,0
ome Ser b,Jovian,non-habitable,540.5,0.4,0,1081.0,0
omi CrB b,Jovian,non-habitable,476.91,0.37,0,953.82,0
omi UMa b,Jovian,non-habitable,1303.55,0.82,1,2607.1,0
OY Car b,Jovian,non-habitable,2696.13,1.71,1,5392.26,1
Pr 0201 b,Jovian,non-habitable,171.69,0.23,0,343.38,0
Pr 0211 b,Jovian,non-habitable,597.73,0.43,0,1195.46,0
Pr 0211 c,Jovian,non-habitable,2527.62,1.6,1,5055.24,1
Proplyd 133-353 b,Jovian,non-habitable,4133.22,2.79,1,8266.44,1
Proxima Cen b,Terran,psychroplanet,1.27,0.9,0,2.54,0
PSR 0636 b,Jovian,non-habitable,2543.52,1.61,1,5087.04,1
PSR 1257 12 c,Terran,non-habitable,4.13,1.06,0,8.26,0
PSR 1257 12 d,Terran,non-habitable,3.82,1.05,0,7.64,0
PSR B0329+54 b,Terran,non-habitable,1.97,0.95,0,3.94,0
PSR B0943+10 b,Jovian,non-habitable,890.23,0.58,0,1780.46,0
PSR B0943+10 c,Jovian,non-habitable,826.64,0.55,0,1653.28,0
PSR B1620-26 b,Jovian,non-habitable,794.85,0.53,0,1589.7,0
PSR B1957+20 b,Jovian,non-habitable,6994.68,5.54,1,13989.36,1
PSR J1807-2459 A b,Jovian,non-habitable,2988.64,1.92,1,5977.28,1
PSR J2051-0827 b,Jovian,non-habitable,8997.7,7.99,1,17995.4,1
PSR J2241-5236 b,Jovian,non-habitable,3815.28,2.53,1,7630.56,1
PZ Tel b,Jovian,non-habitable,19712.28,28.86,1,39424.56,1
Ross 128 b,Terran,mesoplanet,1.4,0.91,0,2.8,0
ROXs 12 b,Jovian,non-habitable,5087.04,3.61,1,10174.08,1
RR Cae b,Jovian,non-habitable,1335.35,0.84,1,2670.7,0
SAND 364 b,Jovian,non-habitable,489.63,0.37,0,979.26,0
sig Per b,Jovian,non-habitable,2066.61,1.3,1,4133.22,1
SIMP0136+0933 b,Jovian,non-habitable,4037.84,2.71,1,8075.68,1
SR 12 AB c,Jovian,non-habitable,4133.22,2.79,1,8266.44,1
TAP 26 b,Jovian,non-habitable,550.04,0.4,0,1100.08,0
tau Cet b,Terran,non-habitable,2.0,0.95,0,4.0,0
tau Cet c,Terran,non-habitable,3.12,1.01,0,6.24,0
tau Cet d,Terran,non-habitable,3.5,1.03,0,7.0,0
tau Cet e,Terran,mesoplanet,4.29,1.07,0,8.58,0
tau Cet f,Superterran,non-habitable,6.67,1.17,0,13.34,0
tau Cet g,Terran,non-habitable,1.75,0.94,0,3.5,0
tau Cet h,Terran,non-habitable,1.83,0.94,0,3.66,0
tau Gem b,Jovian,non-habitable,6549.56,5.06,1,13099.12,1
TCP J050742+244755 b,Superterran,non-habitable,9.22,1.25,0,18.44,0
Teide 1b,Jovian,non-habitable,17168.76,22.69,1,34337.52,1
TWA 5 A(AB) b,Jovian,non-habitable,7948.5,6.65,1,15897.0,1
TYC+1422-614-1 b,Jovian,non-habitable,798.03,0.53,0,1596.06,0
TYC+1422-614-1 c,Jovian,non-habitable,3211.19,2.08,1,6422.38,1
TYC-3667-1280-1 b,Jovian,non-habitable,1716.88,1.08,1,3433.76,1
TYC 3318-01333-1 b,Jovian,non-habitable,1087.35,0.69,1,2174.7,0
TYC 4282-605-1 b,Jovian,non-habitable,3427.39,2.24,1,6854.78,1
UKIRT-2017-BLG-001 b,Jovian,non-habitable,406.96,0.33,0,813.92,0
ups And b,Jovian,non-habitable,197.12,0.24,0,394.24,0
ups And c,Jovian,non-habitable,2893.25,1.85,1,5786.5,1
ups And d,Jovian,non-habitable,7497.03,6.11,1,14994.06,1
ups And e,Jovian,non-habitable,336.7,0.3,0,673.4,0
USco1602-2401 b,Jovian,non-habitable,14943.18,17.92,1,29886.36,1
USco1610-1913 b,Jovian,non-habitable,6358.8,4.86,1,12717.6,1
USco1612-1800 b,Jovian,non-habitable,8266.44,7.05,1,16532.88,1
UScoCTIO 108 b,Jovian,non-habitable,4451.16,3.05,1,8902.32,1
UZ For(AB) d,Jovian,non-habitable,2448.14,1.55,1,4896.28,1
V391 Peg b,Jovian,non-habitable,1017.41,0.65,1,2034.82,0
V396 Hya b,Jovian,non-habitable,5818.3,4.31,1,11636.6,1
V830 Tau b,Jovian,non-habitable,244.81,0.26,0,489.62,0
V2051 Oph b,Jovian,non-habitable,2320.96,1.46,1,4641.92,1
VHS 1256-1257 b,Jovian,non-habitable,3560.93,2.34,1,7121.86,1
WASP-38 b,Jovian,non-habitable,723.15,0.49,0,1446.3,0
WASP-39 b,Jovian,non-habitable,66.47,0.03,0,132.94,0
WASP-41 c,Jovian,non-habitable,1011.05,0.65,1,2022.1,0
WASP-47 c,Jovian,non-habitable,416.5,0.34,0,833.0,0
WASP-53 c,Jovian,non-habitable,5198.32,3.71,1,10396.64,1
WASP-81 c,Jovian,non-habitable,17995.4,24.61,1,35990.8,1
WASP-83 b,Jovian,non-habitable,32.62,0.06,0,65.24,0
WASP-84 b,Jovian,non-habitable,75.47,0.19,0,150.94,0
WASP-94 B b,Jovian,non-habitable,196.49,0.24,0,392.98,0
WASP-96 b,Jovian,non-habitable,34.33,0.06,0,68.66,0
WASP-97 b,Jovian,non-habitable,94.41,0.21,0,188.82,0
WASP-98 b,Jovian,non-habitable,59.36,0.14,0,118.72,0
WASP-120 b,Jovian,non-habitable,1608.65,0.33,1,3217.3,0
WASP-124 b,Jovian,non-habitable,63.36,0.07,0,126.72,0
WASP-126 b,Jovian,non-habitable,29.57,0.07,0,59.14,0
WASP-138 b,Jovian,non-habitable,387.89,0.32,0,775.78,0
WASP-142 b,Jovian,non-habitable,39.48,0.05,0,78.96,0
WASP-151 b,Jovian,non-habitable,98.48,0.05,0,196.96,0
WASP-153 b,Jovian,non-habitable,100.32,0.02,0,200.64,0
WASP-158 b,Jovian,non-habitable,123.45,0.52,0,246.9,0
WASP-172 b,Jovian,non-habitable,67.84,0.03,0,135.68,0
WD 0806-661 B b,Jovian,non-habitable,2543.52,1.61,1,5087.04,1
WISE 0855-0714 b,Jovian,non-habitable,1907.64,1.2,1,3815.28,1
WISE 1711+3500 b,Jovian,non-habitable,5722.92,4.21,1,11445.84,1
WISE 1828+2650 b,Jovian,non-habitable,3258.89,2.11,1,6517.78,1
WISE J0720-0846 b,Jovian,non-habitable,19712.28,28.86,1,39424.56,1
Wolf 1061 b,Terran,non-habitable,1.91,0.95,0,3.82,0
Wolf 1061 c,Terran,mesoplanet,3.4,1.03,0,6.8,0
Wolf 1061 d,Superterran,non-habitable,7.69,1.2,0,15.38,0
XO-2S b,Jovian,non-habitable,82.35,0.21,0,164.7,0
XO-2S c,Jovian,non-habitable,435.58,0.35,0,871.16,0
XO-3 b,Jovian,non-habitable,3748.09,1.48,1,7496.18,1
YBP401 b,Jovian,non-habitable,146.25,0.23,0,292.5,0
YBP1194 b,Jovian,non-habitable,108.1,0.21,0,216.2,0
YBP1514 b,Jovian,non-habitable,127.18,0.22,0,254.36,0
YZ Cet b,Terran,non-habitable,0.76,0.86,0,1.52,0
YZ Cet c,Terran,non-habitable,0.99,0.88,0,1.98,0
YZ Cet d,Terran,non-habitable,1.14,0.89,0,2.28,0
